Date,open,high,low,close,volume
2025-07-25,214.7000,215.2400,213.4000,213.8800,40268781
2025-07-24,213.9000,215.6900,213.5300,213.7600,46022620
2025-07-23,215.0000,215.1500,212.4100,214.1500,46989301
2025-07-22,213.1400,214.9500,212.2301,214.4000,46404072
2025-07-21,212.1000,215.7800,211.6300,212.4800,51377434
2025-07-18,210.8700,211.7900,209.7045,211.1800,48974591
2025-07-17,210.5700,211.8000,209.5900,210.0200,48068141
2025-07-16,210.2950,212.4000,208.6400,210.1600,47490532
2025-07-15,209.2200,211.8900,208.9200,209.1100,42296339
2025-07-14,209.9250,210.9100,207.5400,208.6200,38840111
2025-07-11,210.5650,212.1300,209.8600,211.1600,39765812
2025-07-10,210.5050,213.4800,210.0300,212.4100,44443635
2025-07-09,209.5300,211.3300,207.2200,211.1400,48749367
2025-07-08,210.1000,211.4300,208.4500,210.0100,42848928
2025-07-07,212.6800,216.2300,208.8000,209.9500,50228984
2025-07-03,212.1450,214.6500,211.8101,213.5500,34955836
2025-07-02,208.9100,213.3400,208.1400,212.4400,67941811
2025-07-01,206.6650,210.1865,206.1401,207.8200,78788867
2025-06-30,202.0100,207.3900,199.2607,205.1700,91912816
2025-06-27,201.8900,203.2200,200.0000,201.0800,73188571
2025-06-26,201.4300,202.6400,199.4600,201.0000,50799121
2025-06-25,201.4500,203.6700,200.6201,201.5600,39525730
2025-06-24,202.5900,203.4400,200.2000,200.3000,54064033
2025-06-23,201.6250,202.3000,198.9600,201.5000,55814272
2025-06-20,198.2350,201.7000,196.8550,201.0000,96813542
2025-06-18,195.9400,197.5700,195.0700,196.5800,45394689
2025-06-17,197.2000,198.3900,195.2100,195.6400,38856152
2025-06-16,197.3000,198.6850,196.5636,198.4200,43020691
2025-06-13,199.7300,200.3700,195.7000,196.4500,51447349
2025-06-12,199.0800,199.6800,197.3601,199.2000,43904635
2025-06-11,203.5000,204.5000,198.4100,198.7800,60989857
2025-06-10,200.6000,204.3500,200.5700,202.6700,54672608
2025-06-09,204.3900,206.0000,200.0200,201.4500,72862557
2025-06-06,203.0000,205.7000,202.0500,203.9200,46607693
2025-06-05,203.5000,204.7500,200.1500,200.6300,55221235
